branch_id,college_code,branch_name
0100219110,01002,Civil Engineering
0100224210,01002,Computer Science and Engineering
0100224610,01002,Information Technology
0100229310,01002,Electrical Engineering
0100237210,01002,Electronics and Telecommunication Engg
0100246610,01002,Instrumentation Engineering
0100261210,01002,Mechanical Engineering
0100550310,01005,Food Technology
0100551710,01005,Oil and Paints Technology
0100552410,01005,Paper and Pulp Technology
0100552710,01005,Petro Chemical Engineering
0101219110,01012,Civil Engineering
0101224510,01012,Computer Engineering
0101229310,01012,Electrical Engineering
0101237210,01012,Electronics and Telecommunication Engg
0101261210,01012,Mechanical Engineering
0110124210,01101,Computer Science and Engineering
0110124610,01101,Information Technology
0110135610,01101,Electrical Engg[Electronics and Power]
0110137210,01101,Electronics and Telecommunication Engg
0110161210,01101,Mechanical Engineering
0110519110,01105,Civil Engineering
0110524210,01105,Computer Science and Engineering
0110524610,01105,Information Technology
0110526310,01105,Artificial Intelligence (AI) and Data Science
0110526710,01105,Computer Science and Engineering (IoT)
0110537210,01105,Electronics and Telecommunication Engg
0110561210,01105,Mechanical Engineering
0110724210,01107,Computer Science and Engineering
0110729310,01107,Electrical Engineering
0110737210,01107,Electronics and Telecommunication Engg
0110761210,01107,Mechanical Engineering
0110791110,01107,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0110799510,01107,Artificial Intelligence and Data Science
0111419110,01114,Civil Engineering
0111424210,01114,Computer Science and Engineering
0111424610,01114,Information Technology
0111426310,01114,Artificial Intelligence (AI) and Data Science
0111437210,01114,Electronics and Telecommunication Engg
0111461210,01114,Mechanical Engineering
0111619110,01116,Civil Engineering
0111624210,01116,Computer Science and Engineering
0111624610,01116,Information Technology
0111650710,01116,Chemical Engineering
0111661210,01116,Mechanical Engineering
0111719110,01117,Civil Engineering
0111724210,01117,Computer Science and Engineering
0111735610,01117,Electrical Engg[Electronics and Power]
0111761210,01117,Mechanical Engineering
0111799510,01117,Artificial Intelligence and Data Science
0111924210,01119,Computer Science and Engineering
0111924610,01119,Information Technology
0111937210,01119,Electronics and Telecommunication Engg
0111950710,01119,Chemical Engineering
0111961210,01119,Mechanical Engineering
0112019110,01120,Civil Engineering
0112024210,01120,Computer Science and Engineering
0112029310,01120,Electrical Engineering
0112037210,01120,Electronics and Telecommunication Engg
0112050710,01120,Chemical Engineering
0112061210,01120,Mechanical Engineering
0112089310,01120,Textile Engineering / Technology
0112124210,01121,Computer Science and Engineering
0112124610,01121,Information Technology
0112137210,01121,Electronics and Telecommunication Engg
0112161210,01121,Mechanical Engineering
0112319110,01123,Civil Engineering
0112324210,01123,Computer Science and Engineering
0112337210,01123,Electronics and Telecommunication Engg
0112361210,01123,Mechanical Engineering
0112519110,01125,Civil Engineering
0112524210,01125,Computer Science and Engineering
0112526310,01125,Artificial Intelligence (AI) and Data Science
0112529310,01125,Electrical Engineering
0112561210,01125,Mechanical Engineering
