college_code,Institute Name,Region,District,Status,Autonomy Status,Minority Status,Home University
1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,Amravati,University Department,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",Amravati,Amravati,Un-Aided,Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1002,"Government College of Engineering, Amravati",Amravati,Amravati,Government,Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Amravati,Akola,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1117,"Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad",Amravati,Yavatmal,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,Amravati,Un-Aided,Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,Amravati,Un-Aided,Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1012,"Government College of Engineering,Yavatmal",Amravati,Yavatmal,Government,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Amravati,Washim,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Amravati,Yavatmal,Un-Aided,Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati,Amravati,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Amravati,Amravati,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1128,"Prof Ram Meghe College of Engineering  and Management, Badnera",Amravati,Amravati,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1182,"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Amravati,Yavatmal,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,Sant Gadge Baba Amravati University
1121,"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,Amravati,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Amravati,Akola,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
2021,"University Department of Chemical Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,University Department,Non-Autonomous,Non-Minority,Dr. Babasaheb Ambedkar Marathwada University
2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Autonomous,Non-Minority,Dr. Babasaheb Ambedkar Marathwada University
2008,"Government College of Engineering,  Chhatrapati Sambhajinagar",Aurangabad,Chhatrapati Sambhajinagar,Government,Autonomous,Non-Minority,Dr. Babasaheb Ambedkar Marathwada University
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority,Sant Gadge Baba Amravati University
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Religious Minority - Muslim,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",Aurangabad,Jalna,University Managed,Autonomous,Non-Minority,Deemed to be University
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Aurangabad,Nanded,Government-Aided,Autonomous,Non-Minority,"Swami Ramanand Teerth Marathwada University, Nanded"
2136,"Aditya Engineering College , Beed",Aurangabad,Beed,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Aurangabad,Beed,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2129,"M.S. Bidve Engineering College, Latur",Aurangabad,Latur,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad",Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2134,"Peoples Education Society's College of Engineering, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2135,"Hi-Tech Institute of Technology, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2131,"Shree Tuljabhavani College of Engineering, Tuljapur",Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2137,"Nagnathappa Halge Engineering  College, Parli, Beed",Aurangabad,Beed,Un-Aided,Non-Autonomous,Non-Minority,Dr. Babasaheb Ambedkar Marathwada University
2250,"Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2282,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Aurangabad,Beed,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Aurangabad,Parbhani,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority,Dr. Babasaheb Ambedkar Marathwada University
2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Aurangabad,Jalna,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Aurangabad,Latur,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2516,International Centre Of Excellence In Engineering  and Management (ICEEM),Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority,Dr. Babasaheb Ambedkar Marathwada University
2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Aurangabad,Latur,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
3014,"Sardar Patel College of Engineering, Andheri",Mumbai,Mumbai Suburban,Government-Aided,Autonomous,Non-Minority,Mumbai University
2666,Mangaldeep College of Engineering,Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority,Dr. Babasaheb Ambedkar Marathwada University
2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere",Mumbai,Raigad,University,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
2641,Dr. V.K. Patil College of Engineering & Technology,Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,Mumbai,Mumbai City,Government-Aided,Autonomous,Linguistic Minority - Gujarathi,"Dr. Babasaheb Ambedkar Technological University,Lonere"
3036,"Institute of Chemical Technology, Matunga, Mumbai",Mumbai,Mumbai City,Deemed University,Autonomous,Non-Minority,Deemed to be University
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai,Mumbai City,Government-Aided,Autonomous,Non-Minority,Mumbai University
3035,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",Mumbai,Mumbai Suburban,University Managed (Un-Aided),Non-Autonomous,Non-Minority,SNDT Women's University
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",Mumbai,Ratnagiri,Government,Non-Autonomous,Non-Minority,"Dr. Babasaheb Ambedkar Technological University,Lonere"
3143,"Thakur Shyamnarayan Engineering College, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,Mumbai University
3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai,Mumbai City,Un-Aided,Autonomous,Non-Minority,Mumbai University
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Gujarathi(Jain),Mumbai University
3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3147,"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Hindi,Mumbai University
3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Religious Minority - Christian,Mumbai University
3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi,Mumbai University
3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mumbai,Mumbai City,Un-Aided,Non-Autonomous,Religious Minority - Muslim,Mumbai University
3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai,Mumbai City,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3189,"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Sindhi,Mumbai University
3190,"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3197,"Agnel Charities FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai,Thane,Un-Aided,Autonomous,Religious Minority - Christian,Mumbai University
3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,Mumbai University
3194,"Vidyavardhini's College of Engineering and Technology, Vasai",Mumbai,Palghar,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3200,"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri",Mumbai,Ratnagiri,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3198,"Konkan Gyanpeeth College of Engineering, Karjat",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3203,"Atharva College of Engineering,Malad(West),Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Mumbai,Ratnagiri,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Gujarathi,Mumbai University
3204,"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Religious Minority - Christian,Mumbai University
3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Religious Minority - Muslim,Mumbai University
3208,"Don Bosco Institute of Technology, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Religious Minority - Roman Catholics,Mumbai University
3206,"S.S.P.M.'s College of Engineering, Kankavli",Mumbai,Sindhudurg,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai,Raigad,Un-Aided,Autonomous,Linguistic Minority - Malyalam,Mumbai University
3209,K J Somaiya Institute of Technology,Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Gujarathi,Mumbai University
3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Mumbai,Thane,Un-Aided,Non-Autonomous,Linguistic Minority - Punjabi,Mumbai University
3212,"Watumull Institute of  Engineering & Technology, Ulhasnagar",Mumbai,Thane,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi,Mumbai University
3214,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",Mumbai,Mumbai City,Un-Aided,Non-Autonomous,Religious Minority - Christian,Mumbai University
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai,Thane,Un-Aided,Autonomous,Linguistic Minority - Tamil,Mumbai University
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Non-Minority,Mumbai University
3217,"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
