Rank,Percentile,Choice Code,Merit Exam
14789,85.2493707,0110124610,JEE(Main)-2024
36978,65.7022258,0110161210,JEE(Main)-2024
21832,78.8475420,0110137210,JEE(Main)-2024
9553,90.0150514,0110124210,JEE(Main)-2024
29415,72.1885748,0110135610,JEE(Main)-2024
38190,64.7375694,0110526710,JEE(Main)-2024
57176,48.6301306,0110519110,JEE(Main)-2024
56656,49.2543008,0110561210,JEE(Main)-2024
36070,66.4622994,0110537210,JEE(Main)-2024
31019,70.8363852,0110526310,JEE(Main)-2024
20345,80.2427627,0110524210,JEE(Main)-2024
27689,73.7173337,0110524610,JEE(Main)-2024
43688,60.2278410,0110791110,JEE(Main)-2024
39430,63.6291843,0110799510,JEE(Main)-2024
46149,58.2354795,0110729310,JEE(Main)-2024
57209,48.6301306,0110761210,JEE(Main)-2024
27050,74.1809752,0110724210,JEE(Main)-2024
40173,63.2235380,0110737210,JEE(Main)-2024
55027,50.6386042,0110719110,JEE(Main)-2024
41148,62.3601588,0111437210,JEE(Main)-2024
39928,63.3763410,0111426310,JEE(Main)-2024
58364,47.6296012,0111419110,JEE(Main)-2024
58238,47.7566256,0111461210,JEE(Main)-2024
33580,68.6174754,0111424610,JEE(Main)-2024
29534,72.1098321,0111424210,JEE(Main)-2024
44638,59.5678435,0111624210,JEE(Main)-2024
53742,51.7517536,0111624610,JEE(Main)-2024
79145,25.5813182,0111650710,JEE(Main)-2024
75792,29.8279581,0111619110,JEE(Main)-2024
77577,27.8601519,0111661210,JEE(Main)-2024
143453,55.1151268,0111719110,MHT-CET
163568,36.6611018,0111761210,MHT-CET
84557,17.0796568,0111735610,JEE(Main)-2024
58193,47.7771826,0111724210,JEE(Main)-2024
61139,45.2445766,0111799510,JEE(Main)-2024
48560,56.2235696,0111924210,JEE(Main)-2024
175587,22.5662265,0111961210,MHT-CET
62971,43.5428977,0111924610,JEE(Main)-2024
180260,16.2979967,0111950710,MHT-CET
72620,33.4714446,0111937210,JEE(Main)-2024
71696,34.7059173,0112019110,JEE(Main)-2024
59575,46.5960891,0112089310,JEE(Main)-2024
39235,63.8828633,0112050710,JEE(Main)-2024
20521,80.0308535,0112024210,JEE(Main)-2024
67571,39.1527671,0112061210,JEE(Main)-2024
54032,51.4671199,0112029310,JEE(Main)-2024
26849,74.4735956,0112037210,JEE(Main)-2024
36487,66.2569654,0112124210,JEE(Main)-2024
49991,55.0466064,0112137210,JEE(Main)-2024
44216,59.9479500,0112124610,JEE(Main)-2024
61498,44.8443341,0112161210,JEE(Main)-2024
75946,29.7188447,0112319110,JEE(Main)-2024
47619,57.0199716,0112324210,JEE(Main)-2024
79671,24.8312223,0112361210,JEE(Main)-2024
58743,47.4238693,0112337210,JEE(Main)-2024
82271,21.0827014,0112529310,JEE(Main)-2024
60705,45.5083235,0112524210,JEE(Main)-2024
83917,18.2888686,0112526310,JEE(Main)-2024
183676,11.4128678,0112561210,MHT-CET
184972,9.2050034,0112519110,MHT-CET
170724,28.7732713,0112619110,MHT-CET
85436,15.4875273,0112661210,JEE(Main)-2024
164932,35.2166182,0112629310,MHT-CET
80986,23.0331736,0112637210,JEE(Main)-2024
57767,48.2678103,0112624210,JEE(Main)-2024
67991,38.7568676,0112737210,JEE(Main)-2024
72097,34.4865069,0112729310,JEE(Main)-2024
57238,48.6301306,0112724510,JEE(Main)-2024
89886,4.5569597,0112719110,JEE(Main)-2024
154759,45.5219220,0112761210,MHT-CET
