college_code,Institute Name,Institute Address,Region,District,Status,Autonomy Status,Minority Status
01002,"Government College of Engineering, Amravati","VMV Road, Near Kathora Naka,  Amravati",Amravati,Amravati,Government,Autonomous,Non-Minority
01005,"Sant Gadge Baba Amravati University,Amravati","SGB Amravati University, Near Tapowan, Amravati",Amravati,Amravati,University Department,Non-Autonomous,Non-Minority
01012,"Government College of Engineering,Yavatmal","Post Box N. 24, Dhamangaon Road, Yavatmal",Amravati,Yavatmal,Government,Non-Autonomous,Non-Minority
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","S.S.G.M.C.E Campus, Khamgaon Road, Shegaon Dist. Buldhana",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati","Anjangaon Bari Road, Badnera,  Amravati",Amravati,Amravati,Un-Aided,Autonomous,Non-Minority
01107,"P. R. Pote Patil College of Engineering & Management, Amravati","Shri Gajanan Township ,Pote Estate, Kathora Road, Amravati",Amravati,Amravati,Un-Aided,Autonomous,Non-Minority
01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati","Sipna campus, Infront of Nemani Godown, Badnera Rd., Amravati",Amravati,Amravati,Un-Aided,Autonomous,Non-Minority
01116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola","Babhulgaon(Jn), Murtizapur Road, National Highway No. 6, Akola",Amravati,Akola,Un-Aided,Non-Autonomous,Non-Minority
01117,"Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad","Kalra Road, Pusad  Dist Yavatmal",Amravati,Yavatmal,Un-Aided,Non-Autonomous,Non-Minority
01119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali","Anuradhha Nagar, Sakegaon Road, Chikhali Dist. Buldhana",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority
01120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal","MIDC, Lohara, Amaravati Road, Yavatmal",Amravati,Yavatmal,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
01121,"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati","Hanuman Vyayam Nagar, H.V.P.M. Campus, Amravati",Amravati,Amravati,Un-Aided,Non-Autonomous,Non-Minority
01123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati","University Mardi Road, Opp. Heart Hospital, Amravati",Amravati,Amravati,Un-Aided,Non-Autonomous,Non-Minority
01125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana","Rajarshi Shahu Nagar, Near Palna Ghar, Sagwan Road,  Buldhana",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority
01126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati","Darapur, Taluka. Daryapur, Amravati",Amravati,Amravati,Un-Aided,Non-Autonomous,Non-Minority
01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal","Sr. No.167/1,167/2 &163/,Arni Road, Mauza-Kinhi,Tal & Dist-Yavatmal",Amravati,Yavatmal,Un-Aided,Autonomous,Non-Minority
01128,"Prof Ram Meghe College of Engineering  and Management, Badnera","New Express Highway, Badnera Dist. Amravati",Amravati,Amravati,Un-Aided,Non-Autonomous,Non-Minority
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon","Chikhali Road, Post Yelgaon, Tal & Buldhana",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority
01180,"Sanmati Engineering College, Sawargaon Barde, Washim","Survey no. 40, Washim-Malegaon Road, At. Post  Sawargaon Barde Dist. Washim",Amravati,Washim,Un-Aided,Non-Autonomous,Non-Minority
01182,"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana","Malkapur, Dist. Buldhana",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority
01265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.","Khamgaon Road, Shegaon Dist. Buldhana",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority
01268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile","Gat No.133,134 & 140, Shegaon Khamgaon Road, Shirasgaon, Nile, Tal. Shegaon",Amravati,Buldhana,Un-Aided,Non-Autonomous,Non-Minority
01276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302","Gut No.1035, Surat Nagpur Highway Vyala, Tal.Balapur, Akola",Amravati,Akola,Un-Aided,Non-Autonomous,Non-Minority
02008,"Government College of Engineering,  Chhatrapati Sambhajinagar","Station Road, Osmanpura,   CHHATRAPATISAMBHAJINAGAR",Aurangabad,Chhatrapati Sambhajinagar,Government,Autonomous,Non-Minority
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded","Vishnupuri, Nanded",Aurangabad,Nanded,Government-Aided,Autonomous,Non-Minority
02021,"University Department of Chemical Technology, Aurangabad","Dr. Babasaheb Ambedkar Marathwada University Campus, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,University Department,Non-Autonomous,Non-Minority
02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna","M/s Beej Sheetal Innovations Centre Pvt. Ltd, BT-5 Biotechnology Park, Jalna Industrial Area  MIDC, Additional MIDC, Aurangabad Road, Jalna",Aurangabad,Jalna,University Managed,Autonomous,Non-Minority
02111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar","Gut No.187&189, Ohar, Jatwada Road,  Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Religious Minority - Muslim
02112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad","Gut No. 258 (P), Satara Tanda, Tal & Dist. Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad","N.H. No. 211,Beed bypass Road, Satara, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Autonomous,Non-Minority
02114,"Deogiri Institute of Engineering and Management Studies, Aurangabad","Deogiri College Campus, Railway Station Road, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded","Jijau Nagar, Off Nanded Latur Highway, Kupsarwadi, Post Vishnupuri. Dist. Nanded",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority
02127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.","Near Airport,Hingoli Road, Nanded",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority
02129,"M.S. Bidve Engineering College, Latur","P.O. Box No. 112, Barshi Road, Latur",Aurangabad,Latur,Un-Aided,Non-Autonomous,Non-Minority
02130,"Terna Public Charitable Trust's College of Engineering, Osmanabad","Solapur  Road, Osmanabad",Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority
