college_code,college_name,University
1002,"Government College of Engineering, Amravati",Sant Gadge Baba Amravati University
1005,"Sant Gadge Baba Amravati University,Amravati",Sant Gadge Baba Amravati University
1012,"Government College of Engineering,Yavatmal","Dr. Babasaheb Ambedkar Technological University,Lonere"
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Sant Gadge Baba Amravati University
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Sant Gadge Baba Amravati University
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",Sant Gadge Baba Amravati University
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Sant Gadge Baba Amravati University
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Sant Gadge Baba Amravati University
1117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Sant Gadge Baba Amravati University
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Sant Gadge Baba Amravati University
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Sant Gadge Baba Amravati University
1121,"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Sant Gadge Baba Amravati University
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Sant Gadge Baba Amravati University
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Sant Gadge Baba Amravati University
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Sant Gadge Baba Amravati University
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Sant Gadge Baba Amravati University
1128,"Prof Ram Meghe College of Engineering  and Management, Badnera",Sant Gadge Baba Amravati University
1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Sant Gadge Baba Amravati University
1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Sant Gadge Baba Amravati University
1182,"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Sant Gadge Baba Amravati University
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Sant Gadge Baba Amravati University
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Sant Gadge Baba Amravati University
1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Sant Gadge Baba Amravati University
2008,"Government College of Engineering,  Chhatrapati Sambhajinagar",Dr. Babasaheb Ambedkar Marathwada University
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded","Swami Ramanand Teerth Marathwada University, Nanded"
2021,"University Department of Chemical Technology, Aurangabad",Dr. Babasaheb Ambedkar Marathwada University
2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",Deemed to be University
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar","Dr. Babasaheb Ambedkar Technological University,Lonere"
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad","Dr. Babasaheb Ambedkar Technological University,Lonere"
2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Dr. Babasaheb Ambedkar Marathwada University
2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad","Dr. Babasaheb Ambedkar Technological University,Lonere"
2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded","Dr. Babasaheb Ambedkar Technological University,Lonere"
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.","Dr. Babasaheb Ambedkar Technological University,Lonere"
2129,"M.S. Bidve Engineering College, Latur","Dr. Babasaheb Ambedkar Technological University,Lonere"
2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad","Dr. Babasaheb Ambedkar Technological University,Lonere"
2131,"Shree Tuljabhavani College of Engineering, Tuljapur","Dr. Babasaheb Ambedkar Technological University,Lonere"
2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai","Dr. Babasaheb Ambedkar Technological University,Lonere"
