group_name,branch_ids,count
Civil Engineering,19110;90610;91810;91510;92210,5
Computer Science and Engineering,24210;26710;91110;91210;25710;90010;56610;90510;92010;91010;56810;26010;91310;26210;25410;92510,16
Information Technology,24610,1
Electrical Engineering,29310;35610;29710;92610;57310,5
Electronics and Telecommunication Engineering,37210;84410;37810;92810;37610;93310;93510;37010,8
Instrumentation Engineering,46610,1
Mechanical Engineering,61210;61510;90810;25910;61610;62510,6
Food Technology,50310;90710;53410;50410,4
Artificial Intelligence and Data Science,51710;26310;99510;92110;99710;91710;26610;52310,8
Paper and Pulp Technology,52410,1
Chemical Engineering,52710;50710;81610;90410,4
Computer Engineering,24510;92710,2
Textile Engineering,89310;89610;51410;46510;88610;89010,6
Production Engineering,60610;62610,2
VLSI,92910,1
5G,93210,1
Agricultural Engineering,01110,1
Plastic and Polymer Engineering,50110,1
Mechatronics Engineering,62410,1
Automation and Robotics,91610;21910,2
Architectural Assistantship,46310,1
Safety and Fire Engineering,91410,1
Dyestuff Technology,51110,1
Pharmaceutical Technology,51310,1
Polymer Engineering and Technology,51910,1
Bio Medical Engineering,46110,1
Cyber Security,25210,1
Automobile Engineering,60210,1
Internet of Things (IoT),25310;26510,2
Data Engineering,92410,1
Computer Technology,25110,1
Aeronautical Engineering,00210,1
Bio Technology,08210,1
Mining Engineering,70110,1
Fire Engineering,93610,1
Plastic Technology,50810,1
Oil Fats and Waxes Technology,51810,1
Instrumentation and Control Engineering,46410,1
Fashion Technology,57010,1
Printing Technology,84110,1
