college_code,college_name,district
5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar
5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar
5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Ahmednagar
5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",Ahmednagar
5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Ahmednagar
5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",Ahmednagar
1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Akola
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Akola
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Amravati
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati
1121,"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Amravati
1002,"Government College of Engineering, Amravati",Amravati
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",Amravati
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati
1005,"Sant Gadge Baba Amravati University,Amravati",Amravati
2250,"Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad",Aurangabad
2135,"Hi-Tech Institute of Technology, Aurangabad",Aurangabad
2134,"Peoples Education Society's College of Engineering, Aurangabad",Aurangabad
2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad
2021,"University Department of Chemical Technology, Aurangabad",Aurangabad
2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad
2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad
2282,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Beed
2137,"Nagnathappa Halge Engineering  College, Parli, Beed",Beed
2136,"Aditya Engineering College , Beed",Beed
4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Bhandara
4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Bhandara
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Buldhana
1182,"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Buldhana
1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Buldhana
4004,"Government College of Engineering, Chandrapur",Chandrapur
4163,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Chandrapur
4703,"Somayya Institute of Technology,  Chandrapur",Chandrapur
5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Dhule
5365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha,  Dhule",Dhule
5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Dhule
5169,"Nagaon  Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Dhule
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Hingoli
5004,"Government College of Engineering, Jalgaon",Jalgaon
5249,"Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon",Jalgaon
5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Jalgaon
5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Jalgaon
5171,"Godavari Foundation's Godavari College Of Engineering,  Jalgaon",Jalgaon
5003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon
5152,"G H Raisoni College of  Engineering and Management, Jalgaon",Jalgaon
5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",Jalgaon
2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",Jalna
2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Jalna
6402,"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR",Kolhapur
6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur
6250,"D.Y. Patil College of Engineering and Technology, Kolhapur",Kolhapur
6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur",Kolhapur
6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Kolhapur
6839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Kolhapur
6714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar  Tal-Shirol, Dist Kolhapur",Kolhapur
6028,"Department of Technology, Shivaji University, Kolhapur",Kolhapur
6036,"Government College of Engineering, Kolhapur",Kolhapur
6780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Kolhapur
6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",Kolhapur
2129,"M.S. Bidve Engineering College, Latur",Latur
2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Latur
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Latur
3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai
3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai
3036,"Institute of Chemical Technology, Matunga, Mumbai",Mumbai
3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai
3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai
3035,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",Mumbai
3203,"Atharva College of Engineering,Malad(West),Mumbai",Mumbai
3208,"Don Bosco Institute of Technology, Mumbai",Mumbai
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mumbai
3214,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",Mumbai
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",Mumbai
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai",Mumbai
3204,"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai
3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai
3190,"Terna Engineering College, Nerul, Navi Mumbai",Mumbai
3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai
3143,"Thakur Shyamnarayan Engineering College, Mumbai",Mumbai
3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai
3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai
3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Mumbai
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai
3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai
3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai
